"certificate","average_rating"
M,7.394194484760523
"12",7.35
MA-13,7.266666666666667
T,7.243291139240506
E10+,7.1389162561576365
E,7.052415812591509
TV-MA,7.0
TV-14,7.0
K-A,6.921686746987952
Approved,6.900000000000001
PG-13,6.628571428571428
AO,6.493333333333334
GA,6.473333333333333
Unrated,6.426424870466321
EC,6.142857142857143
MA-17,6.0
PG,5.933333333333334
CE,5.5200000000000005
G,5.0
Passed,4.7
