"decade","average_rating_action","average_rating_Adventure","average_rating_Comedy","average_rating_Crime","average_rating_Family","average_rating_Fantasy","average_rating_Mystery","average_rating_Sci-Fi","average_rating_Thriller"
,7.8,,,,,,,,
"1950s",7.0,,,,,,,,
"1960s",6.8,,,,,,,7.25,
"1970s",5.199999999999999,6.8125,,,4.766666666666667,6.957142857142857,4.2,5.393103448275863,6.3
"1980s",6.28,6.6850746268656716,6.948571428571428,6.551851851851852,6.099009900990099,6.625,7.377777777777778,6.134883720930232,6.333333333333333
"1990s",7.025818639798489,7.230414012738853,7.141897233201582,7.092372881355932,6.737400530503979,7.197735191637631,7.412280701754386,7.048375451263539,7.316666666666666
"2000s",7.177324358435002,7.2652857891976925,7.1962643678160925,7.285844748858447,6.873763440860215,7.3538555691554475,7.455502392344497,7.066157205240175,7.2
"2010s",7.047604259094942,7.186769078295342,7.110684931506849,7.36595744680851,6.784776119402985,7.216608594657375,7.397454545454545,7.08762088974855,7.009937888198757
"2020s",7.084358974358975,7.273857868020305,7.222368421052631,7.437931034482758,6.726829268292684,7.2377245508982035,7.257446808510639,6.989855072463769,7.041666666666667
